nom,symbole,facteur,prix_achat,prix_vente,medicament_id,is_default
Flacon,Fl,1,,,CASPOFUNGINE,1
Flacon,Fl,1,,,MYCAMINE,1
Flacon,Fl,1,,,ECALTA,1
Gélule,Gél,1,,,TRIFLUCAN,1
Gélule,Gél,1,,,BEAGYNE,1
Gélule,Gél,1,,,OROFLUCO,1
Gélule,Gél,1,,,SPORANOX,1
Comprimé,Cp,1,,,VFEND,1
Comprimé,Cp,1,,,NOXAFIL,1
Gélule,Gél,1,,,CRESEMBA,1
Gel,Gel,1,,,DAKTARIN Gel,1
Comprimé gingival,Cp ging,1,,,LORAMYC,1
Flacon,Fl,1,,,FUZEON,1
Comprimé,Cp,1,,,CELSENTRI,1
Flacon,Fl,1,,,TROGARZO,1
Gélule,Gél,1,,,RETROVIR,1
Flacon,Fl,1,,,RETROVIR IV,1
Comprimé,Cp,1,,,EPIVIR,1
Comprimé,Cp,1,,,COMBIVIR,1
Gélule,Gél,1,,,EMTRIVA,1
Comprimé,Cp,1,,,ZIAGEN,1
Comprimé,Cp,1,,,KIVEXA,1
Comprimé,Cp,1,,,TRIZIVIR,1
Comprimé,Cp,1,,,TRIUMEQ,1
Comprimé,Cp,1,,,VIREAD,1
Comprimé,Cp,1,,,TRUVADA,1
Comprimé,Cp,1,,,ATRIPLA,1
Comprimé,Cp,1,,,EVIPLERA,1
Comprimé,Cp,1,,,DESCOVY,1
Comprimé,Cp,1,,,ODEFSEY,1
Comprimé,Cp,1,,,BIKTARVY,1
Comprimé,Cp,1,,,GENVOYA,1
Gélule,Gél,1,,,SUSTIVA,1
Comprimé,Cp,1,,,EDURANT,1
Comprimé,Cp,1,,,INTELENCE,1
Comprimé,Cp,1,,,VIRAMUNE,1
Comprimé,Cp,1,,,PIFELTRO,1
Comprimé,Cp,1,,,DELSTRIGO,1
Comprimé,Cp,1,,,PREZISTA,1
Comprimé,Cp,1,,,NORVIR,1
Comprimé,Cp,1,,,KALETRA,1
Comprimé,Cp,1,,,TELZIR,1
Gélule,Gél,1,,,REYATAZ,1
Gélule,Gél,1,,,APTIVUS,1
Comprimé,Cp,1,,,ISENTRESS,1
Comprimé,Cp,1,,,STRIBILD,1
Comprimé,Cp,1,,,TIVICAY,1
Comprimé,Cp,1,,,DOVATO,1
Comprimé,Cp,1,,,JULUCA,1
Gélule,Gél,1,,,TAMIFLU,1
Suspension,Susp,1,,,EBILFUMIN,1
Flacon,Fl,1,,,OSELTAMIVIR,1
Rotadisk,Rotadisk,1,,,RELENZA,1
Flacon,Fl,1,,,DECTOVA,1
Comprimé,Cp,1,,,ROVALCYTE,1
Flacon,Fl,1,,,CYMEVAN,1
Flacon,Fl,1,,,FOSCAVIR,1
Comprimé,Cp,1,,,ZOVIRAX,1
Comprimé,Cp,1,,,ZELITREX,1
Comprimé,Cp,1,,,ORAVIR,1
Comprimé,Cp,1,,,PREVYMIS,1
Flacon,Fl,1,,,SYNAGIS,1
Flacon,Fl,1,,,VEKLURY,1
Gélule,Gél,1,,,CHLORAMINOPHÈNE,1
Comprimé,Cp,1,,,ALKÉRAN,1
Flacon,Fl,1,,,ALKÉRAN injectable,1
Gélule,Gél,1,,,ESTRACYT,1
Flacon,Fl,1,,,HOLOXAN,1
Comprimé,Cp,1,,,ENDOXAN,1
Flacon,Fl,1,,,ENDOXAN injectable,1
Flacon,Fl,1,,,MUPHORAN,1
Gélule,Gél,1,,,BÉLUSTINE,1
Flacon,Fl,1,,,BICNU,1
Implant,Impl,1,,,GLIADEL,1
Flacon,Fl,1,,,STREPTOZOCINE,1
Flacon,Fl,1,,,CISPLATINE,1
Flacon,Fl,1,,,CARBOPLATINE,1
Flacon,Fl,1,,,ELOXATINE,1
Flacon,Fl,1,,,THIOTÉPA,1
Flacon,Fl,1,,,TEPADINA,1
Gélule,Gél,1,,,HEXASTAT,1
Gélule,Gél,1,,,NATULAN,1
Gélule,Gél,1,,,TEMODAL,1
Flacon,Fl,1,,,DETICENE,1
Comprimé,Cp,1,,,MYLERAN,1
Ampoule,Amp,1,,,BUSILVEX,1
Flacon,Fl,1,,,TRECONDI,1
Flacon,Fl,1,,,MITOMYCINE,1
Flacon,Fl,1,,,BENDAMUSTINE,1
Flacon,Fl,1,,,MÉTHOTREXATE,1
Flacon,Fl,1,,,TOMUDEX,1
Flacon,Fl,1,,,ALIMTA,1
Comprimé,Cp,1,,,PURINÉTHOL,1
Suspension,Susp,1,,,XALUPRINE,1
Comprimé,Cp,1,,,LANVIS,1
Flacon,Fl,1,,,EVOLTRA,1
Flacon,Fl,1,,,NIPENT,1
Flacon,Fl,1,,,LEUSTATINE,1
Flacon,Fl,1,,,LITAK,1
Comprimé,Cp,1,,,FLUDARA,1
Flacon,Fl,1,,,FLUDARA injectable,1
Flacon,Fl,1,,,ATRIANCE,1
Flacon,Fl,1,,,VIDAZA,1
Flacon,Fl,1,,,FLUORO-URACILE,1
Comprimé,Cp,1,,,LONSURF,1
Comprimé,Cp,1,,,XELODA,1
Flacon,Fl,1,,,ARACYTINE,1
Flacon,Fl,1,,,VYXEOS,1
Gélule,Gél,1,,,HYDREA,1
Comprimé,Cp,1,,,SIKLOS,1
Flacon,Fl,1,,,GEMZAR,1
Flacon,Fl,1,,,CAMPTO,1
Flacon,Fl,1,,,ONIVYDE,1
Gélule,Gél,1,,,HYCAMTIN,1
Flacon,Fl,1,,,HYCAMTIN injectable,1
Flacon,Fl,1,,,FARMORUBICINE,1
Gélule,Gél,1,,,ZAVEDOS,1
Flacon,Fl,1,,,ZAVEDOS Injectable,1
Flacon,Fl,1,,,ADRIBLASTINE,1
Flacon,Fl,1,,,CAELYX,1
Flacon,Fl,1,,,CÉRUBIDINE,1
Flacon,Fl,1,,,NOVANTRONE,1
Flacon,Fl,1,,,PIXUVRI,1
Flacon,Fl,1,,,COSMEGEN,1
Gélule,Gél,1,,,CELLTOP,1
